,y_true,probs,fold,run,Model
0,0.0,0.04137431037533384,0,0,LogisticRegression
1,0.0,0.016171975817359657,0,0,LogisticRegression
2,0.0,0.0047966027307248076,0,0,LogisticRegression
3,0.0,0.09144079101524867,0,0,LogisticRegression
4,1.0,0.9549770719646785,0,0,LogisticRegression
5,0.0,0.07303852881608848,0,0,LogisticRegression
6,1.0,0.6524133473502978,0,0,LogisticRegression
7,1.0,0.7605817393787895,0,0,LogisticRegression
8,0.0,0.03988240960356995,0,0,LogisticRegression
9,1.0,0.9189569057748764,0,0,LogisticRegression
10,1.0,0.898151520238858,0,0,LogisticRegression
11,0.0,0.0022888701311628667,0,0,LogisticRegression
12,0.0,0.04683588054544652,0,0,LogisticRegression
13,0.0,0.029444437040151296,0,0,LogisticRegression
14,0.0,0.09330250732045058,0,0,LogisticRegression
15,1.0,0.8116404059866373,0,0,LogisticRegression
16,0.0,0.026402564093892977,0,0,LogisticRegression
17,0.0,0.002699519258054575,0,0,LogisticRegression
18,0.0,0.8451342466828801,0,0,LogisticRegression
19,0.0,0.005940021613199008,0,0,LogisticRegression
20,1.0,0.7886688600861251,0,0,LogisticRegression
21,0.0,0.0021730388772660874,0,0,LogisticRegression
22,0.0,0.03236322907572312,0,0,LogisticRegression
23,0.0,0.0022364805880034436,0,0,LogisticRegression
24,0.0,0.0022684246654621227,0,0,LogisticRegression
25,0.0,0.016149382488503485,0,0,LogisticRegression
26,0.0,0.11183423102672137,0,0,LogisticRegression
27,1.0,0.9661566660426866,0,0,LogisticRegression
28,0.0,0.19670263829987106,0,0,LogisticRegression
29,0.0,0.06318271703948773,0,0,LogisticRegression
30,0.0,0.07437959968525655,0,0,LogisticRegression
31,1.0,0.6971876642621071,0,0,LogisticRegression
32,0.0,0.03390683367810602,0,0,LogisticRegression
33,1.0,0.8776191999000794,0,0,LogisticRegression
34,0.0,0.026239505711601663,0,0,LogisticRegression
35,0.0,0.002191911677031792,0,0,LogisticRegression
36,0.0,0.011402438133440003,0,0,LogisticRegression
37,0.0,0.00823828816945108,0,0,LogisticRegression
38,0.0,0.061186447426024144,0,0,LogisticRegression
39,1.0,0.9459837072429753,0,0,LogisticRegression
40,0.0,0.014288548136219235,0,0,LogisticRegression
41,0.0,0.09754368861265239,0,0,LogisticRegression
42,0.0,0.031373468236956324,0,0,LogisticRegression
43,0.0,0.0032927352301340626,0,0,LogisticRegression
44,1.0,0.5837561274468915,0,0,LogisticRegression
45,0.0,0.009773683853467642,0,0,LogisticRegression
46,0.0,0.2138182658586891,0,0,LogisticRegression
47,0.0,0.09237350269124495,0,0,LogisticRegression
48,0.0,0.00420977843735843,0,0,LogisticRegression
49,0.0,0.06211589835955367,0,0,LogisticRegression
50,1.0,0.9430129092043131,0,0,LogisticRegression
51,0.0,0.020381373060031887,0,0,LogisticRegression
52,0.0,0.027364229487367973,0,0,LogisticRegression
53,0.0,0.08927650321623677,0,0,LogisticRegression
54,1.0,0.5589354673114296,0,0,LogisticRegression
55,0.0,0.04776736427421729,0,0,LogisticRegression
56,1.0,0.8364507787713142,0,0,LogisticRegression
57,0.0,0.0029293422146406244,0,0,LogisticRegression
58,0.0,0.06031376877345816,0,0,LogisticRegression
59,0.0,0.02743480011408738,0,0,LogisticRegression
60,0.0,0.07567822732426117,0,0,LogisticRegression
61,0.0,0.05892258573176751,0,0,LogisticRegression
62,0.0,0.7677576783919039,0,0,LogisticRegression
63,1.0,0.8948998124520104,0,0,LogisticRegression
64,0.0,0.055446585076238744,0,0,LogisticRegression
65,1.0,0.5055418202576216,0,0,LogisticRegression
66,0.0,0.06170887006948885,0,0,LogisticRegression
67,0.0,0.008580182560630036,0,0,LogisticRegression
68,0.0,0.40387446628784207,0,0,LogisticRegression
69,0.0,0.18709512585473256,0,0,LogisticRegression
70,1.0,0.9133306404667465,0,0,LogisticRegression
71,0.0,0.03633408062139686,0,0,LogisticRegression
72,0.0,0.03724767701945868,0,0,LogisticRegression
73,0.0,0.043170104105774855,0,0,LogisticRegression
74,0.0,0.0025411211975966343,0,0,LogisticRegression
75,1.0,0.6876128856871807,0,0,LogisticRegression
76,0.0,0.04269384260721606,0,0,LogisticRegression
77,0.0,0.06114520625970478,0,0,LogisticRegression
78,0.0,0.07344934368711262,0,0,LogisticRegression
0,0.0,0.002994947625261712,1,0,LogisticRegression
1,0.0,0.9400754711634979,1,0,LogisticRegression
2,0.0,0.003859867385777992,1,0,LogisticRegression
3,0.0,0.12413218272891698,1,0,LogisticRegression
4,1.0,0.6005971553545546,1,0,LogisticRegression
5,1.0,0.9501115916597812,1,0,LogisticRegression
6,0.0,0.0022784489972916704,1,0,LogisticRegression
7,0.0,0.21911078508886006,1,0,LogisticRegression
8,0.0,0.00243231278705245,1,0,LogisticRegression
9,0.0,0.05754382460951348,1,0,LogisticRegression
10,0.0,0.003861439710980857,1,0,LogisticRegression
11,1.0,0.9116324261646308,1,0,LogisticRegression
12,1.0,0.025052693687855516,1,0,LogisticRegression
13,0.0,0.0606949658389332,1,0,LogisticRegression
14,0.0,0.05295294217052189,1,0,LogisticRegression
15,0.0,0.12232153470167774,1,0,LogisticRegression
16,0.0,0.0032226443306815943,1,0,LogisticRegression
17,0.0,0.0025061142383524557,1,0,LogisticRegression
18,0.0,0.011793617975182899,1,0,LogisticRegression
19,0.0,0.002675483258473492,1,0,LogisticRegression
20,0.0,0.010597751505429768,1,0,LogisticRegression
21,0.0,0.0024690184647345667,1,0,LogisticRegression
22,1.0,0.9371792163029683,1,0,LogisticRegression
23,1.0,0.8973569677688016,1,0,LogisticRegression
24,0.0,0.012010419804579826,1,0,LogisticRegression
25,0.0,0.036379324247465136,1,0,LogisticRegression
26,0.0,0.04590108158819626,1,0,LogisticRegression
27,0.0,0.1301139510971478,1,0,LogisticRegression
28,1.0,0.9241416917255328,1,0,LogisticRegression
29,1.0,0.917842282661489,1,0,LogisticRegression
30,0.0,0.03333901578186576,1,0,LogisticRegression
31,0.0,0.09023953556646587,1,0,LogisticRegression
32,1.0,0.10634045657158298,1,0,LogisticRegression
33,0.0,0.6445471152477423,1,0,LogisticRegression
34,0.0,0.012438127304298214,1,0,LogisticRegression
35,0.0,0.07122128616874683,1,0,LogisticRegression
36,0.0,0.09318986627019275,1,0,LogisticRegression
37,1.0,0.8850101786387339,1,0,LogisticRegression
38,0.0,0.052223067030013455,1,0,LogisticRegression
39,0.0,0.004302841895324152,1,0,LogisticRegression
40,0.0,0.014845810994187364,1,0,LogisticRegression
41,0.0,0.0026213516406304177,1,0,LogisticRegression
42,0.0,0.348043740784088,1,0,LogisticRegression
43,0.0,0.0032949217656782427,1,0,LogisticRegression
44,0.0,0.06062423358452068,1,0,LogisticRegression
45,0.0,0.10096663192413094,1,0,LogisticRegression
46,0.0,0.01685789680271412,1,0,LogisticRegression
